Date,Close/Last,Volume,Open,High,Low
06/12/2025,$72.24,12806910,$72.25,$72.3999,$71.60
06/11/2025,$72.07,12718510,$72.265,$72.36,$71.76
06/10/2025,$72.35,12264970,$71.90,$72.685,$71.76
06/09/2025,$71.77,12281340,$71.35,$71.83,$71.09
06/06/2025,$71.35,9524036,$71.085,$71.48,$70.9448
06/05/2025,$70.91,13535620,$71.38,$71.455,$70.835
06/04/2025,$71.37,13565890,$71.26,$71.845,$70.68
06/03/2025,$71.16,20139770,$71.71,$71.78,$70.475
06/02/2025,$72.00,10202740,$72.025,$72.04,$71.36
05/30/2025,$72.10,28019550,$71.605,$72.47,$71.605
05/29/2025,$71.49,10294100,$71.00,$71.66,$70.46
05/28/2025,$71.15,8710896,$71.70,$71.90,$71.05
05/27/2025,$71.78,10666100,$71.74,$72.22,$71.56
05/23/2025,$71.77,12822150,$71.54,$71.98,$70.685
05/22/2025,$71.14,11101800,$71.84,$71.985,$70.96
05/21/2025,$71.85,12094420,$71.69,$72.08,$71.585
05/20/2025,$71.69,12137800,$71.80,$72.13,$71.43
05/19/2025,$71.93,13282780,$72.03,$72.17,$71.64
05/16/2025,$72.00,18441200,$71.86,$72.26,$71.43
05/15/2025,$71.61,19817100,$69.70,$71.73,$69.60
05/14/2025,$69.16,16286800,$68.88,$69.34,$68.58
05/13/2025,$68.96,14389050,$69.59,$69.69,$68.87
05/12/2025,$69.53,21539010,$70.145,$70.33,$68.70
05/09/2025,$70.52,11228950,$70.99,$71.15,$70.46
05/08/2025,$71.17,14371060,$72.20,$72.47,$71.13
05/07/2025,$72.40,15025790,$71.72,$72.685,$71.67
05/06/2025,$71.72,12705480,$71.675,$71.90,$71.16
05/05/2025,$71.70,11932690,$71.67,$71.80,$71.01
05/02/2025,$71.65,12629590,$71.50,$71.815,$71.095
05/01/2025,$71.29,18034160,$72.00,$72.04,$71.23
04/30/2025,$72.55,21074650,$73.35,$73.48,$71.685
04/29/2025,$72.35,16244060,$71.19,$72.71,$70.28
04/28/2025,$71.79,15997500,$72.075,$72.26,$71.31
04/25/2025,$71.91,16315980,$72.65,$72.92,$71.125
04/24/2025,$72.52,16893860,$73.02,$73.425,$72.30
04/23/2025,$73.30,16353930,$73.29,$73.95,$72.38
04/22/2025,$73.90,15613520,$73.00,$74.38,$72.92
04/21/2025,$72.77,16037190,$73.38,$73.4723,$71.82
04/17/2025,$73.00,20754500,$71.90,$73.425,$71.72
04/16/2025,$71.68,15276220,$72.36,$72.665,$71.385
