Date,Close/Last,Volume,Open,High,Low
06/12/2025,$156.66,7075511,$156.24,$156.675,$155.17
06/11/2025,$155.26,6016039,$156.30,$156.60,$154.73
06/10/2025,$156.45,6791881,$155.43,$157.44,$155.02
06/09/2025,$155.23,5319232,$154.85,$155.99,$154.45
06/06/2025,$155.03,5391841,$154.00,$156.03,$154.00
06/05/2025,$153.66,5296258,$153.68,$154.09,$152.64
06/04/2025,$153.22,6983861,$154.93,$154.93,$153.13
06/03/2025,$154.42,8209757,$154.80,$155.66,$154.08
06/02/2025,$155.40,6669669,$154.48,$155.54,$152.30
05/30/2025,$155.21,15529720,$153.90,$155.71,$153.22
05/29/2025,$153.58,6810982,$151.75,$154.04,$151.56
05/28/2025,$152.43,8459310,$153.28,$153.64,$151.93
05/27/2025,$153.25,6990694,$152.52,$154.045,$151.93
05/23/2025,$152.94,6727539,$153.00,$153.48,$152.21
05/22/2025,$152.61,7535335,$152.645,$153.32,$151.37
05/21/2025,$153.18,7032225,$153.19,$154.43,$153.00
05/20/2025,$153.66,7351451,$152.33,$154.0399,$152.12
05/19/2025,$152.49,12639950,$151.89,$152.66,$151.05
05/16/2025,$151.33,8051150,$149.67,$151.50,$149.22
05/15/2025,$149.61,7945768,$148.00,$149.65,$147.33
05/14/2025,$146.36,10215950,$148.665,$148.82,$146.115
05/13/2025,$148.44,10549610,$151.70,$151.70,$148.08
05/12/2025,$154.14,9023782,$152.02,$155.36,$151.18
05/09/2025,$154.22,6520449,$155.42,$156.06,$153.81
05/08/2025,$155.66,7606095,$155.82,$157.03,$154.78
05/07/2025,$157.30,7854106,$154.74,$157.9423,$154.50
05/06/2025,$154.47,8644189,$154.82,$155.90,$153.685
05/05/2025,$155.00,5464496,$156.67,$156.795,$154.725
05/02/2025,$156.12,5974539,$156.07,$156.715,$155.04
05/01/2025,$154.46,7325849,$155.00,$155.085,$153.36
04/30/2025,$156.31,9598156,$158.20,$158.20,$155.021
04/29/2025,$155.91,5246725,$155.45,$157.02,$154.29
04/28/2025,$155.35,5815179,$155.50,$155.81,$153.82
04/25/2025,$154.58,8643927,$154.32,$154.90,$152.45
04/24/2025,$154.93,8310425,$155.80,$155.895,$153.44
04/23/2025,$155.38,9099438,$156.49,$157.10,$154.33
04/22/2025,$157.75,7136321,$157.55,$158.72,$156.2601
04/21/2025,$156.92,6285438,$157.96,$158.23,$155.49
04/17/2025,$157.47,10981070,$154.16,$159.44,$154.16
04/16/2025,$153.91,7987296,$155.37,$155.63,$152.24
04/15/2025,$153.62,10847650,$155.70,$156.30,$152.10
04/14/2025,$154.36,10685340,$151.585,$154.67,$151.1658
04/11/2025,$151.73,9943851,$149.33,$152.35,$148.19
04/10/2025,$148.69,13830470,$150.37,$151.20,$145.13
04/09/2025,$150.97,18773740,$142.20,$153.19,$141.50
04/08/2025,$150.00,12018390,$153.59,$153.59,$148.00
04/07/2025,$150.62,18083040,$151.28,$152.71,$147.40
04/04/2025,$153.24,16601730,$159.155,$159.82,$152.93
04/03/2025,$159.82,13249310,$158.75,$160.645,$157.48
04/02/2025,$155.36,10356920,$154.015,$155.79,$153.4501
04/01/2025,$153.25,23303070,$160.73,$161.81,$153.13
03/31/2025,$165.84,12481400,$164.37,$166.63,$164.23
03/28/2025,$163.71,5760545,$163.59,$164.52,$162.91
03/27/2025,$163.13,6752466,$162.35,$164.065,$161.32
03/26/2025,$161.72,7223773,$161.21,$162.49,$160.64
03/25/2025,$161.02,7456197,$163.52,$164.19,$160.555
03/24/2025,$163.29,8046565,$162.84,$164.39,$162.50
03/21/2025,$163.63,17047110,$163.00,$164.13,$162.48
03/20/2025,$163.02,7485930,$163.00,$163.20,$161.925
03/19/2025,$162.99,5936637,$163.97,$164.36,$162.21
03/18/2025,$164.25,7348974,$163.44,$164.86,$162.965
03/17/2025,$162.84,6669815,$162.41,$163.50,$161.73
03/14/2025,$162.81,6235797,$162.12,$163.15,$161.10
03/13/2025,$162.99,5286734,$163.43,$164.54,$162.6601
03/12/2025,$162.85,8010692,$163.73,$164.21,$162.23
03/11/2025,$165.86,9890648,$167.20,$167.30,$165.05
03/10/2025,$167.70,17558980,$167.48,$169.90,$167.05
03/07/2025,$166.69,9637593,$165.13,$168.46,$164.70
03/06/2025,$165.83,8037888,$165.00,$165.87,$163.51
03/05/2025,$165.12,8745050,$164.51,$166.4618,$163.53
03/04/2025,$165.42,11999960,$168.08,$169.99,$165.32
03/03/2025,$167.28,9191464,$164.96,$167.33,$164.84
02/28/2025,$165.02,12037420,$164.31,$165.94,$162.70
02/27/2025,$163.73,8364573,$162.31,$163.95,$161.73
02/26/2025,$163.08,11396410,$165.08,$165.13,$162.555
02/25/2025,$166.09,12303700,$164.10,$166.43,$163.94
02/24/2025,$163.74,10201920,$162.68,$164.87,$162.05
02/21/2025,$162.30,12546930,$159.88,$163.51,$159.28
02/20/2025,$159.68,7224030,$156.95,$159.95,$156.95
02/19/2025,$157.89,7974736,$155.00,$158.30,$154.75
02/18/2025,$154.99,9670657,$154.14,$155.45,$153.24
02/14/2025,$156.15,6411840,$157.29,$157.47,$156.06
02/13/2025,$157.25,10705080,$155.26,$158.13,$154.79
02/12/2025,$155.26,7746014,$155.27,$155.6599,$154.27
02/11/2025,$156.13,7554811,$154.11,$156.39,$153.94
02/10/2025,$154.24,6936561,$153.61,$154.37,$152.29
02/07/2025,$153.12,6204916,$153.53,$154.49,$152.80
02/06/2025,$153.51,7418468,$154.79,$154.8402,$153.38
02/05/2025,$154.69,8946957,$153.82,$154.73,$153.31
02/04/2025,$153.49,9645289,$151.36,$154.18,$150.945
02/03/2025,$151.87,6687487,$152.00,$152.465,$150.78
01/31/2025,$152.15,8458715,$152.62,$153.18,$152.055
01/30/2025,$152.87,8910983,$151.91,$154.14,$151.36
01/29/2025,$151.15,7156421,$150.50,$151.88,$150.00
01/28/2025,$150.38,10320610,$152.66,$152.97,$150.30
01/27/2025,$152.89,15152310,$148.45,$153.45,$148.00
01/24/2025,$146.82,9887682,$146.805,$147.631,$146.383
01/23/2025,$146.64,10506360,$145.44,$147.91,$144.8144
01/22/2025,$145.27,16834750,$144.00,$145.47,$142.11
01/21/2025,$148.15,11111750,$147.56,$148.86,$147.05
