Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.008783624128705033,0.02661843152604933,115,0.20699507937250305,0.7170519887798555
2,0.007808281109419169,0.024280990279708394,115,0.1867527343400721,0.6469304486588358
3,0.010117951772265507,0.020912599441027992,115,0.32727696092333103,1.1337206489318867
4,0.006486334447479566,0.020301305579637198,115,0.1582457173839587,0.548179245178404
5,0.0068985012971533016,0.022195734378868626,115,0.16330892472768682,0.5657187099155899
6,0.009569968027263896,0.020508975322198565,115,0.30699867478264753,1.0634746051597195
7,0.00842333500199843,0.020894496642514457,115,0.24645701248057486,0.853752134995985
8,0.007934370389551314,0.021960194939908823,115,0.21223083948505925,0.7351891938422352
9,0.009513046411836557,0.02189367540106169,115,0.28498214737097455,0.9872071169932185
10,0.012243615350717173,0.026293789931361777,115,0.34114045909446805,1.1817452153379817
