Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.009050508601784366,0.028570250099584037,112,0.20219524853475318,0.7004248870224181
2,0.007896911210867786,0.022310516941422946,112,0.20721937733702775,0.7178289797210377
3,0.008316780612751543,0.01929311424392892,112,0.26139071001145153,0.9054839807326737
4,0.008655472440266494,0.02117211406398102,112,0.2541896686275289,0.8805388416439535
5,0.007981940930223102,0.021238126408275458,112,0.2216862757813529,0.7679437859880581
6,0.00989944582065505,0.02131005417937893,112,0.31091924885238553,1.077055872126966
7,0.008159931030296651,0.021126357699876124,112,0.23128412940420806,0.8011917262248466
8,0.008668232062731743,0.02139947861834711,112,0.2520852202402629,0.8732488185866513
9,0.008509079493095244,0.021817303281042474,112,0.23996273249065708,0.8312552891937541
10,0.014610413767214949,0.0261163424814299,112,0.43408352425600977,1.503709437479932
