Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.015160044914689098,0.018109626505061076,106,0.6563528590260176,2.27367299905231
2,0.011259106240382902,0.013950564998730285,106,0.5724045197388621,1.9828674213395427
3,0.010581948968224892,0.01229748721687559,106,0.5942847556691965,2.0586627819654093
4,0.01092277762116989,0.01131710753662445,106,0.6758827566334543,2.341326548897707
5,0.010020273978765464,0.012634954813358348,106,0.5339579204061541,1.849684494494555
6,0.010552721722583784,0.012326261306840457,106,0.5905263371583238,2.0456432383315315
7,0.010274069755400028,0.010340963437781788,106,0.6769514286864875,2.345028537482672
8,0.01098717160339412,0.013060359100341257,106,0.5905987547458522,2.045894100213453
9,0.010907399018971479,0.013026632690144932,106,0.5860040286963548,2.029977502284274
10,0.017533971518719632,0.018965748276968522,106,0.7518939684461565,2.6046371105066664
