Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.008938470672497818,0.02917943606866676,109,0.19413435122489436,0.6725011196318766
2,0.009899201727261138,0.02378819793240452,109,0.2785188673765386,0.9648176583254053
3,0.0077706456007599,0.02211427317382541,109,0.2033485696415992,0.7044201085314159
4,0.008166595460565262,0.021110020793893083,109,0.23177881851171844,0.8029053795611643
5,0.008714164428353514,0.020484551861075406,109,0.2655867056819756,0.9200193361120471
6,0.008491672396050297,0.019273479561523105,109,0.27073121888526447,0.9378404526086576
7,0.007760449396056083,0.021418182611440524,109,0.20948134093602283,0.7256646514776993
8,0.008931373080440749,0.019956162162347843,109,0.2835030729964871,0.9820834530636476
9,0.00821852502521411,0.02045103793745232,109,0.24178651754196442,0.837573065935652
10,0.012827212053891694,0.028442497554225243,109,0.3358872494751634,1.1635475634110914
