Date,Decile,Return
2016-10-01,1,0.01684114680185078
2016-10-01,2,0.0006544379596191696
2016-10-01,3,0.004998039046967051
2016-10-01,4,0.008010375355734567
2016-10-01,5,0.00593230781843368
2016-10-01,6,0.01303779714991915
2016-10-01,7,0.005225246257044791
2016-10-01,8,0.006745922487552125
2016-10-01,9,0.004379233776341529
2016-10-01,10,0.016782950783569506
2016-11-01,10,0.023984712414925724
2016-11-01,9,0.0024548965365505104
2016-11-01,7,0.013632007945412195
2016-11-01,6,0.014283593184145849
2016-11-01,8,0.0018514459391876237
2016-11-01,4,0.029218873235461906
2016-11-01,3,0.025833130897330525
2016-11-01,2,0.032225294749328004
2016-11-01,1,0.019844223372343928
2016-11-01,5,-0.008765195220402866
2016-12-01,10,0.020540434814662056
2016-12-01,9,0.004656716167527275
2016-12-01,8,-0.001312268593038457
2016-12-01,7,0.0019510722049689289
2016-12-01,6,0.00938065659997056
2016-12-01,5,-0.0015692067488325412
2016-12-01,3,0.014398454045385423
2016-12-01,2,0.023425378433483468
2016-12-01,1,0.03996934716084444
2016-12-01,4,0.006062195214268984
2017-01-01,7,0.0022191793196779663
2017-01-01,10,0.02568687528862168
2017-01-01,9,0.00822843320429123
2017-01-01,8,0.0005688129959837696
2017-01-01,6,0.005593021409850518
2017-01-01,2,0.028416082312500368
2017-01-01,4,0.007706208265127801
2017-01-01,3,0.014465773186436381
2017-01-01,5,0.004787029618551042
2017-01-01,1,0.03481245442844605
2017-02-01,9,0.015203291751897607
2017-02-01,8,0.0146687075473666
2017-02-01,7,0.01400580143957808
2017-02-01,6,0.01213654784913687
2017-02-01,10,0.03234630879640332
2017-02-01,4,0.023040608956429676
2017-02-01,3,0.017118685877425266
2017-02-01,2,0.033272720466855255
2017-02-01,1,0.02896405019116055
2017-02-01,5,0.010546856595032184
2017-03-01,10,0.0391689634895398
2017-03-01,9,0.024720294117457353
2017-03-01,8,0.018594220805221662
2017-03-01,7,0.0267382897766677
2017-03-01,6,0.012884183981592967
2017-03-01,5,0.022595905146086004
2017-03-01,3,0.019205928322093557
2017-03-01,2,0.02128546517439056
2017-03-01,1,0.010330771771670744
2017-03-01,4,0.02091922850399741
2017-04-01,7,0.018899616741177683
2017-04-01,10,0.023585666088732138
2017-04-01,9,0.020378523267945203
2017-04-01,6,0.015350748059031583
2017-04-01,8,0.014689139407030538
2017-04-01,4,0.023188257446788985
2017-04-01,3,0.016817799272759837
2017-04-01,5,0.019294036448739504
2017-04-01,2,0.022781912331986343
2017-04-01,1,0.0066033739584052675
2017-05-01,9,0.01642933606739372
2017-05-01,8,0.007770862077966845
2017-05-01,7,0.020586445274507703
2017-05-01,6,0.017323708698137485
2017-05-01,10,0.01060162587431579
2017-05-01,4,0.02934911535594531
2017-05-01,3,0.022265018169369988
2017-05-01,2,0.014841641860842136
2017-05-01,1,0.016788543834464154
2017-05-01,5,0.01984134226856149
2017-06-01,10,0.013242400996875903
2017-06-01,9,0.01666620374952288
2017-06-01,8,0.008769980931710997
2017-06-01,7,0.006885790300369399
2017-06-01,6,0.01610527037763476
2017-06-01,5,0.015407570229208911
2017-06-01,3,0.02192300147178705
2017-06-01,2,0.023242548218282977
2017-06-01,1,0.014107375391070098
2017-06-01,4,0.014924645851612572
2017-07-01,7,0.003659115352771858
2017-07-01,9,0.019847063867824755
2017-07-01,8,0.013134701912363989
2017-07-01,6,0.007858538462973685
2017-07-01,10,0.015615692104534062
2017-07-01,4,0.019054216708307425
2017-07-01,1,0.004694449566936765
2017-07-01,5,0.017752719015721175
2017-07-01,3,0.011358990224844767
2017-07-01,2,0.006456222668788758
2017-08-01,10,0.010223460315322619
2017-08-01,9,0.019680033285042198
2017-08-01,8,0.01974913249406174
2017-08-01,6,0.01821537779497362
2017-08-01,7,0.010696918669712119
2017-08-01,4,0.010781351543116768
2017-08-01,3,0.018299465479175048
2017-08-01,2,-0.0020472341286985607
2017-08-01,1,0.004250223111697871
2017-08-01,5,0.014259627749656723
2017-09-01,10,0.02435656709378442
2017-09-01,9,0.01644200598685419
2017-09-01,8,0.014947731645378326
2017-09-01,7,0.022145932949330538
2017-09-01,6,0.013250252951718222
2017-09-01,5,0.011994149289697997
2017-09-01,3,0.012483142001048497
2017-09-01,2,0.004094079190389621
2017-09-01,1,0.008930127854507752
2017-09-01,4,0.01230744333350886
2017-10-01,10,0.02390350320006629
2017-10-01,9,0.026724976507415565
2017-10-01,8,0.020286700481106257
2017-10-01,7,0.01775977018943453
2017-10-01,6,0.015776563447705394
2017-10-01,4,0.011523262460553685
2017-10-01,3,0.022213197108762905
2017-10-01,2,0.0022045099302174798
2017-10-01,1,-0.00068100514653191
2017-10-01,5,0.013263334407823235
2017-11-01,7,0.022115143960546924
2017-11-01,10,0.024742446638209792
2017-11-01,9,0.01826077304612772
2017-11-01,8,0.025743186124451256
2017-11-01,6,0.01796045470832497
2017-11-01,3,0.018242614346333008
2017-11-01,4,0.017348773611733037
2017-11-01,5,0.020718333276272816
2017-11-01,2,0.008977323710296803
2017-11-01,1,0.011120572698786857
2017-12-01,10,0.016536447049897207
2017-12-01,9,0.023967304724592076
2017-12-01,8,0.02386871719774497
2017-12-01,7,0.01717324834898082
2017-12-01,6,0.016160575769701868
2017-12-01,5,0.017025640445289092
2017-12-01,4,0.01862441941828963
2017-12-01,3,0.014828865917383194
2017-12-01,2,0.014563709797699609
2017-12-01,1,0.008346691102914416
2018-01-01,10,0.03911877168587874
2018-01-01,9,0.017331584697564795
2018-01-01,8,0.030111537645015174
2018-01-01,7,0.026857977311822268
