Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.01619131556050637,0.016490168328125113,97,0.783350146661368,2.713604508268042
2,0.012070810877045736,0.014290469417663104,97,0.6155900717980327,2.1324665619783314
3,0.01138797463442151,0.011466906768726826,97,0.707621943378155,2.4512743169631834
4,0.010599460412670582,0.011972673930931701,97,0.6118700528163125,2.119580038215411
5,0.010169075047414598,0.010951285204686646,97,0.6296370824371187,2.1811268342210464
6,0.009847454168879163,0.010279016520014795,97,0.6395275631555056,2.2153884644520994
7,0.009882587138891657,0.011396593047518935,97,0.5798967576657924,2.0088212948432185
8,0.01053778020544478,0.011025221670345918,97,0.6588566325866856,2.2823463250877594
9,0.011995201082530757,0.011228520058001287,97,0.7767240255421773,2.6906509513969548
10,0.01684913628818113,0.01640652636185615,97,0.8274388012775158,2.86633208793309
