Date,Decile,Return
2016-10-01,1,0.01928287934406625
2016-10-01,2,-0.002424056047403589
2016-10-01,3,0.007565749737998395
2016-10-01,4,-0.00340349633442405
2016-10-01,5,-0.004816582397919045
2016-10-01,6,-0.018316663462271898
2016-10-01,7,-0.0088505209867068
2016-10-01,8,-0.00640844036634991
2016-10-01,9,-0.00679107856871175
2016-10-01,10,0.006496930764723352
2016-11-01,10,0.012270112751869844
2016-11-01,9,-0.005342433862825291
2016-11-01,7,-0.005217055323092468
2016-11-01,6,0.002534550362538912
2016-11-01,8,-0.013033034219511186
2016-11-01,4,0.012585557238120604
2016-11-01,3,0.030746490638762225
2016-11-01,2,0.04250565762159719
2016-11-01,1,0.0172333529253208
2016-11-01,5,0.007853680470736757
2016-12-01,10,0.042940418680972314
2016-12-01,9,0.007846293621470934
2016-12-01,8,0.00665673009051404
2016-12-01,7,0.0005927761215014371
2016-12-01,6,0.02009096730461124
2016-12-01,5,0.02656315945136556
2016-12-01,3,0.014782683616902936
2016-12-01,2,0.027699901854156606
2016-12-01,1,0.0436308669693104
2016-12-01,4,0.02193380166872183
2017-01-01,7,0.009347182925551145
2017-01-01,10,0.02955164875370575
2017-01-01,9,0.0176106599578838
2017-01-01,8,0.014822394653210225
2017-01-01,6,0.008621548058780348
2017-01-01,2,0.023840719428186663
2017-01-01,4,0.01514670616062741
2017-01-01,3,0.005985857741471534
2017-01-01,5,0.015640603305023593
2017-01-01,1,0.01781625636803219
2017-02-01,9,0.015601359448533136
2017-02-01,8,0.024969176575428964
2017-02-01,7,0.014263104749557165
2017-02-01,6,0.02718241766632712
2017-02-01,10,0.019996852359041917
2017-02-01,4,0.015097784802205583
2017-02-01,3,0.0232892315950175
2017-02-01,2,0.02525621531429678
2017-02-01,1,0.03199544365280915
2017-02-01,5,0.02116065771753095
2017-03-01,10,0.01651831450142116
2017-03-01,9,0.01090677902554904
2017-03-01,8,0.02023131845753179
2017-03-01,7,0.00396484717066703
2017-03-01,6,0.009059811892841774
2017-03-01,5,0.023871367947455147
2017-03-01,3,0.021767421547562504
2017-03-01,2,0.010914773000918476
2017-03-01,1,0.015335889501095767
2017-03-01,4,0.015656822022352523
2017-04-01,7,0.014075779520045018
2017-04-01,10,-0.0026129057846158155
2017-04-01,9,0.009964923485759059
2017-04-01,6,0.008969542688506582
2017-04-01,8,-0.007418339069886315
2017-04-01,4,0.016010021397190766
2017-04-01,3,0.002304714941452568
2017-04-01,5,0.009778549863321162
2017-04-01,2,0.015120631027460751
2017-04-01,1,-0.005416687876141579
2017-05-01,9,0.023171447452391858
2017-05-01,8,0.011677981574024443
2017-05-01,7,0.009964504540552976
2017-05-01,6,-0.0002256026622206031
2017-05-01,10,0.002358846248584401
2017-05-01,4,0.011815845299157246
2017-05-01,3,0.035152908067603184
2017-05-01,2,0.01475348051953862
2017-05-01,1,-0.004892393078810842
2017-05-01,5,0.013661213191623167
2017-06-01,10,0.011022520584864637
2017-06-01,9,0.012233729566132556
2017-06-01,8,0.010310150873265034
2017-06-01,7,0.017378395925097934
2017-06-01,6,0.018202882474144033
2017-06-01,5,0.008328015263779243
2017-06-01,3,0.008465207425024879
2017-06-01,2,0.006186944339994893
2017-06-01,1,-0.0009773594639636007
2017-06-01,4,0.009842645125630822
2017-07-01,7,0.003057263354816042
2017-07-01,9,0.010619860487130373
2017-07-01,8,0.022365190587731565
2017-07-01,6,0.004121702819076312
2017-07-01,10,0.030724585956902306
2017-07-01,4,0.013921266525493303
2017-07-01,1,0.009701803789849306
2017-07-01,5,0.0038092540570506817
2017-07-01,3,0.009881933602803317
2017-07-01,2,0.006126619419182022
2017-08-01,10,0.02248473863318523
2017-08-01,9,0.01833631913456113
2017-08-01,8,0.0187502826765924
2017-08-01,6,0.0019222021186624527
2017-08-01,7,0.011201356373313098
2017-08-01,4,0.0026734514099675533
2017-08-01,3,-0.0012010573495702115
2017-08-01,2,-0.005730727030991756
2017-08-01,1,0.007782717160288
2017-08-01,5,0.013619959515689839
2017-09-01,10,0.010982827839731701
2017-09-01,9,0.005082028041285103
2017-09-01,8,0.017270952005853824
2017-09-01,7,0.004731157951828324
2017-09-01,6,0.01024932606754958
2017-09-01,5,0.02370795111059909
2017-09-01,3,0.00900755351041238
2017-09-01,2,0.008938334474589027
2017-09-01,1,0.010620305689168275
2017-09-01,4,0.004141271488636411
2017-10-01,10,0.020010066906816837
2017-10-01,9,0.02613924586985794
2017-10-01,8,0.0262810990484017
2017-10-01,7,0.012401718343042267
2017-10-01,6,0.01896948336106763
2017-10-01,4,0.030913950202504203
2017-10-01,3,0.0027352199711190295
2017-10-01,2,0.010347942515585018
2017-10-01,1,0.0028700766556626345
2017-10-01,5,0.0255008040089435
2017-11-01,7,0.01111356118276019
2017-11-01,10,0.015208027853263806
2017-11-01,9,0.036493423983431805
2017-11-01,8,0.021894885374627693
2017-11-01,6,0.0208401162126719
2017-11-01,3,0.010192641662329693
2017-11-01,4,0.020480823676375826
2017-11-01,5,0.027322306030818977
2017-11-01,2,0.012403591086783461
2017-11-01,1,0.012849480553654313
2017-12-01,10,0.009653626503142165
2017-12-01,9,0.018083766038212046
2017-12-01,8,0.017845382231717943
2017-12-01,7,0.01046928765369759
2017-12-01,6,0.008990375386471072
2017-12-01,5,0.013689088314810416
2017-12-01,4,0.0205579413988346
2017-12-01,3,0.014208928130752918
2017-12-01,2,0.019413085207023784
2017-12-01,1,0.016932889814226026
2018-01-01,10,0.04592338269102325
2018-01-01,9,0.03561286373696659
2018-01-01,8,0.028137651744793546
2018-01-01,7,0.023278006535904616
2018-01-01,6,0.02273616559373748
