Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.013044117397541601,0.016688802356150983,109,0.5854451030598744,2.0280413270842
2,0.010853993867906232,0.013187949034034963,109,0.5747864255574906,1.9911185851329598
3,0.011671303298789376,0.012434673728147752,109,0.6753344478658346,2.3394271516102014
4,0.00954869236630412,0.01258697314707137,109,0.49852752610068196,1.7269500083560014
5,0.011566888620110271,0.013296217324278232,109,0.6237224193657304,2.160637840322454
6,0.011050813244436327,0.011683779527354771,109,0.6656299396979597,2.305809749191748
7,0.011271640560486138,0.012496285106731316,109,0.6400222714172096,2.21710218414049
8,0.010815700678951863,0.011704663489976527,109,0.6443552096317527,2.232111922407781
9,0.012420834332915383,0.01296576290141555,109,0.7054806277321194,2.443856581975232
10,0.016583641650200338,0.01795312957661751,109,0.7413694537879617,2.568179122280673
