Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.015091224601883557,0.019048733438733225,103,0.6203816572736148,2.149065100963366
2,0.011467928670239462,0.015189476747752067,103,0.5394648561052788,1.8687610793443528
3,0.010916730470423876,0.012853750267460926,103,0.5946117303658122,2.059795455540065
4,0.011098383237571115,0.012296512766702183,103,0.6363302835386476,2.2043127629672945
5,0.009691449793157987,0.012104165437141608,103,0.5302067329042234,1.8366899998104322
6,0.009932428385153447,0.011068537972396241,103,0.601587004495137,2.0839585139174877
7,0.010345088395680883,0.01207586456430511,103,0.5855770057560993,2.0284982514272336
8,0.010802371289002534,0.01199134192024417,103,0.6278389488747328,2.174897916843352
9,0.01079787083936683,0.01238102661151898,103,0.6077146341134316,2.105185245575188
10,0.016741541115374934,0.018190799896437047,103,0.7403633380527648,2.5646938351373616
