Date,Decile,Return
2017-01-01,1,0.024583002489982686
2017-01-01,2,0.03295281056614008
2017-01-01,3,0.020865456241256464
2017-01-01,4,0.018865856289419503
2017-01-01,5,0.024291786413995764
2017-01-01,6,0.011321862328528942
2017-01-01,7,0.009227900245441623
2017-01-01,8,0.013549061994279521
2017-01-01,9,0.011427267732392554
2017-01-01,10,0.04831413552477182
2017-02-01,10,0.04363737173396376
2017-02-01,9,0.011258542782579095
2017-02-01,7,0.016711506541231103
2017-02-01,6,0.011205170561459088
2017-02-01,8,0.015756630181652298
2017-02-01,4,0.006648849159024861
2017-02-01,3,0.02039897189910822
2017-02-01,2,0.021127640079527943
2017-02-01,1,0.029669724255502405
2017-02-01,5,0.012813699049907479
2017-03-01,10,0.04244596434462489
2017-03-01,9,0.010123793042185358
2017-03-01,8,0.006177217318166228
2017-03-01,7,0.013883771318136118
2017-03-01,6,0.011052270167466682
2017-03-01,5,0.021781736008520625
2017-03-01,3,0.022747876756922913
2017-03-01,2,0.014243602154092372
2017-03-01,1,0.020682028427125854
2017-03-01,4,0.00791638008351958
2017-04-01,7,0.013801236645361703
2017-04-01,10,0.023927433811241183
2017-04-01,9,0.022138452435469302
2017-04-01,8,0.009772909626143855
2017-04-01,6,0.011294223290852612
2017-04-01,3,0.017238553264597334
2017-04-01,4,0.014300141020012758
2017-04-01,5,0.0174990814363849
2017-04-01,2,0.010520579127548002
2017-04-01,1,0.02470460729865942
2017-05-01,10,0.03170715568112814
2017-05-01,9,0.013580371060899932
2017-05-01,8,0.014173126184002571
2017-05-01,7,0.015917788825202006
2017-05-01,6,0.019944940047269544
2017-05-01,4,0.014572299299543845
2017-05-01,3,0.01719411449898134
2017-05-01,2,0.019698220693329827
2017-05-01,1,0.02609510086373623
2017-05-01,5,0.0127305642875708
2017-06-01,7,0.012411263681070483
2017-06-01,10,0.026536248796203976
2017-06-01,9,0.00752804890411829
2017-06-01,8,0.011506575980814393
2017-06-01,6,0.008332366646430112
2017-06-01,1,0.01875395395599999
2017-06-01,4,0.016566395912369636
2017-06-01,3,0.012436227627242058
2017-06-01,2,0.022537459699699447
2017-06-01,5,0.01764738294581858
2017-07-01,7,0.01547164866419215
2017-07-01,10,0.029929174850669815
2017-07-01,9,0.015844942903983972
2017-07-01,8,0.008324158457904796
2017-07-01,6,0.02265473151179398
2017-07-01,2,0.014855403304261605
2017-07-01,4,0.01237556789648786
2017-07-01,1,0.017177377447807896
2017-07-01,5,0.01359585371305827
2017-07-01,3,0.014081425151483584
2017-08-01,1,0.015576331449437708
2017-08-01,2,0.011131498327518585
2017-08-01,3,0.019982896519806115
2017-08-01,4,0.0089451840205661
2017-08-01,5,0.011842713664401927
2017-08-01,6,0.013977351244172542
2017-08-01,7,0.019931481350578872
2017-08-01,8,0.013796502358312868
2017-08-01,9,0.02176485168465625
2017-08-01,10,0.02849006742235627
2017-09-01,10,0.029100194270815116
2017-09-01,9,0.02196533860934391
2017-09-01,8,0.01929484493648803
2017-09-01,7,0.02026672426487197
2017-09-01,6,0.01764170838034751
2017-09-01,2,0.015184111677035483
2017-09-01,4,0.016404849269833877
2017-09-01,3,0.020960100108624813
2017-09-01,5,0.017339649700699233
2017-09-01,1,0.015244062102812261
2017-10-01,10,0.025917714339133147
2017-10-01,6,0.016439906211249244
2017-10-01,9,0.02897858608098547
2017-10-01,8,0.03157266212966148
2017-10-01,7,0.014531649088885379
2017-10-01,5,0.015409776959191435
2017-10-01,3,0.013589453138602936
2017-10-01,2,0.010001476860317382
2017-10-01,1,0.017919678135361217
2017-10-01,4,0.00953088016858028
2017-11-01,9,0.024287147249555385
2017-11-01,8,0.019939034546792467
2017-11-01,7,0.02167676504793392
2017-11-01,6,0.015962294825190737
2017-11-01,10,0.017982585213412117
2017-11-01,4,0.02024586077656476
2017-11-01,3,0.018192143717745246
2017-11-01,2,0.01380540667494956
2017-11-01,1,0.012642662292555729
2017-11-01,5,0.0265170685816718
2017-12-01,10,0.021146008024511165
2017-12-01,9,0.015195522646060944
2017-12-01,8,0.0224847453534196
2017-12-01,7,0.0218916275940908
2017-12-01,6,0.019484936571740885
2017-12-01,5,0.008540489483391811
2017-12-01,3,0.018861233534425148
