Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.010442368873088262,0.03038777671127596,106,0.2359050205943264,0.8171989628599112
2,0.008579800345643885,0.024111317537640536,106,0.2200651438960812,0.7623280204059372
3,0.008439375868219868,0.021225344337881202,106,0.2433711323496299,0.8430623326502571
4,0.007519479063050753,0.02092728847455926,106,0.2028805253969366,0.7027987557075243
5,0.008898639991146115,0.022642096843115682,106,0.24842664740467482,0.8605751505177914
6,0.007748209916449207,0.019803527398121565,106,0.2259430880316156,0.7826898161795315
7,0.00841550719075013,0.02147543044747528,106,0.2394255808341992,0.8293945412730445
8,0.00729569011403769,0.021145050343588805,106,0.19020764985117353,0.6588986270610067
9,0.009131957284632043,0.020094055455479615,106,0.2915398295487237,1.0099235944167193
10,0.012161724146020814,0.027648250261663537,106,0.32146643204202274,1.1135923864493422
