Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.012584030132986337,0.020931161152466078,109,0.4448052491197077,1.5408505818973306
2,0.009852674480896322,0.017053350183958073,109,0.38578546899753163,1.3364000662510254
3,0.009508940849548994,0.014378178050992044,109,0.43365724400108346,1.5022327593603404
4,0.009759783574101748,0.013546257916257385,109,0.4788070500354702,1.658636275367216
5,0.009935293743992362,0.015763171816268042,109,0.42260238227680386,1.4639375950061388
6,0.010536940206999428,0.01486423928085756,109,0.4886358654192412,1.6926842906130277
7,0.010663065665411269,0.014370113457809043,109,0.514214860231102,1.781292527854395
8,0.01117036674794282,0.015766655538341213,109,0.5008435014350988,1.734972782252574
9,0.009965867986632473,0.014801734312145936,109,0.4521178439841448,1.566182153578075
10,0.01613464522255627,0.021197225946819536,109,0.6067258740659425,2.101760080297697
