Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.015426237258656519,0.01713117798908375,100,0.7093789746508595,2.4573608518328065
2,0.01197235204735787,0.013588802999144592,100,0.6401308684588722,2.2174783753279126
3,0.01114731728061434,0.010870340858430654,100,0.7243174433034412,2.509109225219899
4,0.010776010367275166,0.010801705717284943,100,0.6945449896002148,2.405974420259939
5,0.010495963708899835,0.01068222694506621,100,0.6760972186643761,2.342069467165409
6,0.010619270379335641,0.010078578225093629,100,0.728826073785669,2.524727579355444
7,0.011016328046468842,0.01131891923983941,100,0.6840395359495273,2.3695824613008374
8,0.011341030807028928,0.011235382439677418,100,0.7180254938488445,2.487313272951866
9,0.01122842509868663,0.011459516027463234,100,0.6941554335649047,2.4046249585688346
10,0.017084241640567377,0.01641820715979359,100,0.8411699111818303,2.9138980479302594
