Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.013785899384995123,0.014608123409098171,106,0.71961054191595,2.492804040521197
2,0.011587251332801451,0.01220422149393621,106,0.6811996615050938,2.359744847651087
3,0.011874344350488739,0.011669440440307785,106,0.7370194494144041,2.5531102651043756
4,0.009668457877905936,0.011685093236739098,106,0.5472543492936274,1.8957446752792153
5,0.012564593001621285,0.01168693644983571,106,0.79497764527957,2.7538833450113676
6,0.011360123740889369,0.01210321353011197,106,0.6681187552852871,2.314431259287589
7,0.01140133093000246,0.011136382869155269,106,0.7298232508074725,2.5281819018872516
8,0.011094549959840758,0.010974444753985046,106,0.7126383478127171,2.468651651667134
9,0.012299902306801168,0.011965375315802513,106,0.7543568242846106,2.6131686933945066
10,0.017628054527599905,0.01667006794952898,106,0.8610831574808655,2.9828795565973834
