Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.012668650485571326,0.022614266224833382,106,0.41544176627122165,1.4391324935358203
2,0.011344392706156012,0.01882797348592501,106,0.42865223546179165,1.4848949011956014
3,0.010506377472882716,0.015040316499596123,106,0.4808833438364159,1.6658287680765724
4,0.00953829520754921,0.015589398525531326,106,0.4018471536981112,1.3920393741641364
5,0.009417773135914735,0.01377967308501547,106,0.44587656875525383,1.544561741977155
6,0.009337584787515877,0.013541945391314135,106,0.44778241457142043,1.551163785547141
7,0.008925336931729625,0.014653532870677801,106,0.3856815417420424,1.3360400516774282
8,0.010212258766034632,0.014875263809322048,106,0.4664467852655815,1.615819062214314
9,0.009959991374744487,0.015215375049377406,106,0.43944047194677366,1.5222664486277158
10,0.015934016689523173,0.020548979422950107,106,0.6161024665382964,2.1342415494256666
