Date,Decile,Return
2016-10-01,1,0.021040558933985487
2016-10-01,2,0.025551418587299812
2016-10-01,3,0.016479565436042343
2016-10-01,4,0.013261092948388509
2016-10-01,5,0.019204243802803278
2016-10-01,6,0.011366157906559371
2016-10-01,7,0.010001010516594189
2016-10-01,8,0.011496720579353692
2016-10-01,9,0.012881847445130212
2016-10-01,10,0.0425725914980668
2016-11-01,10,0.03570175935392528
2016-11-01,9,0.0035590155942100132
2016-11-01,7,0.01504625497526435
2016-11-01,6,0.0029835211277047247
2016-11-01,8,0.011328177149785068
2016-11-01,4,0.005537410782492813
2016-11-01,3,0.01878820328633579
2016-11-01,2,0.01742612154639711
2016-11-01,1,0.028252869521513846
2016-11-01,5,0.007932303201859447
2016-12-01,10,0.04476164764605217
2016-12-01,9,0.0027160857418264683
2016-12-01,8,0.005108917753186226
2016-12-01,7,0.009035510950769154
2016-12-01,6,0.010297385592004105
2016-12-01,5,0.01778656537828338
2016-12-01,3,0.019511729443448367
2016-12-01,2,0.014487981443409792
2016-12-01,1,0.023636484815304337
2016-12-01,4,0.004437020143016612
2017-01-01,7,0.010652197040515343
2017-01-01,10,0.019791534970567737
2017-01-01,9,0.024677178788145238
2017-01-01,8,0.005828580808604489
2017-01-01,6,0.008226615328527087
2017-01-01,2,0.013890395347210704
2017-01-01,4,0.011640483047517858
2017-01-01,3,0.015190237602729528
2017-01-01,5,0.014981095709805103
2017-01-01,1,0.028941801572149206
2017-02-01,9,0.013949868492302286
2017-02-01,8,0.01231228197899914
2017-02-01,7,0.016993521168261916
2017-02-01,6,0.01808040871010186
2017-02-01,10,0.03482821171707973
2017-02-01,4,0.020931905937113804
2017-02-01,3,0.01974228428853375
2017-02-01,2,0.024049160930617486
2017-02-01,1,0.03613299319263308
2017-02-01,5,0.008665277155064599
2017-03-01,10,0.03157790771384139
2017-03-01,9,0.0032532427040437017
2017-03-01,8,0.010702515535026214
2017-03-01,7,0.010710685538694031
2017-03-01,6,0.0069812787905325635
2017-03-01,5,0.017118326974529197
2017-03-01,3,0.011253107724837008
2017-03-01,2,0.025239956386848394
2017-03-01,1,0.02121425263879262
2017-03-01,4,0.014574842923043674
2017-04-01,7,0.014675948027106811
2017-04-01,10,0.025981750573655482
2017-04-01,9,0.01925127016972117
2017-04-01,6,0.01959724420787401
2017-04-01,8,0.007946874794757974
2017-04-01,4,0.012192457138799684
2017-04-01,3,0.013838456571637403
2017-04-01,5,0.013009008078402884
2017-04-01,2,0.0151905292332708
2017-04-01,1,0.01382517589922827
2017-05-01,9,0.022039235722571382
2017-05-01,8,0.014925195696198212
2017-05-01,7,0.019927195697642786
2017-05-01,6,0.017033758151686618
2017-05-01,10,0.03173444844986695
2017-05-01,4,0.010064702076536092
2017-05-01,3,0.018720909364870808
2017-05-01,2,0.011550571493312844
2017-05-01,1,0.01576551846304275
2017-05-01,5,0.012599691459272089
2017-06-01,10,0.02933594034685294
2017-06-01,9,0.021698533760998062
2017-06-01,8,0.02201269391566596
2017-06-01,7,0.01931043427344914
2017-06-01,6,0.019842469675268815
2017-06-01,5,0.010610225031342235
2017-06-01,3,0.019203889239854055
2017-06-01,2,0.018766571707840463
2017-06-01,1,0.01718490491008029
2017-06-01,4,0.01836182089825522
2017-07-01,7,0.01245665674694485
2017-07-01,9,0.027121372828948775
2017-07-01,8,0.031131032561304783
2017-07-01,6,0.014241832770367724
2017-07-01,10,0.02763763087408333
2017-07-01,4,0.009569430801067647
2017-07-01,1,0.019033549794809534
2017-07-01,5,0.014453684232229147
2017-07-01,3,0.013523977488027583
2017-07-01,2,0.010589313352455276
2017-08-01,10,0.010766969312061558
2017-08-01,9,0.019055792490650036
2017-08-01,8,0.019144652702393516
2017-08-01,6,0.013216866556549522
2017-08-01,7,0.016291383034047868
2017-08-01,4,0.017174769333001327
2017-08-01,3,0.01424964038366694
2017-08-01,2,0.013399044277682792
2017-08-01,1,0.017021580856714236
2017-08-01,5,0.022152997308204414
2017-09-01,10,0.020873996865676814
2017-09-01,9,0.012718172984220288
2017-09-01,8,0.017560489771793364
2017-09-01,7,0.019184169858575295
2017-09-01,6,0.013349488709072599
2017-09-01,5,0.005829160207828643
2017-09-01,3,0.016203840543403514
2017-09-01,2,0.02237937744331031
2017-09-01,1,0.0157641940111668
2017-09-01,4,0.017178318820173955
2017-10-01,10,0.022054250411021048
2017-10-01,9,0.016325950881987072
2017-10-01,8,0.020065593060504705
2017-10-01,7,0.012883935137686597
2017-10-01,6,0.0194269211970155
2017-10-01,4,0.015229615108642847
2017-10-01,3,0.009020850590781615
2017-10-01,2,0.011936939817287495
2017-10-01,1,0.0007351395853789633
2017-10-01,5,0.01966177245233114
2017-11-01,7,0.017249582461338786
2017-11-01,10,0.021881833353310842
2017-11-01,9,0.020480364586635824
2017-11-01,8,0.012539152103925977
2017-11-01,6,0.021445374555369545
2017-11-01,3,0.01567848420659157
2017-11-01,4,0.01621800497962389
2017-11-01,5,0.019923039548523036
2017-11-01,2,0.022766720853776734
2017-11-01,1,0.010016619804834148
2017-12-01,10,0.017627651985193005
2017-12-01,9,0.020982659819103855
2017-12-01,8,0.021872160164775112
2017-12-01,7,0.014690007257915916
2017-12-01,6,0.02521362032028085
2017-12-01,5,0.01739969336845215
2017-12-01,4,0.014266164615378107
2017-12-01,3,0.018136287321166566
2017-12-01,2,0.014709482083148373
2017-12-01,1,0.009017936902053103
2018-01-01,10,0.021917891368198772
2018-01-01,9,0.030747833735400576
2018-01-01,8,0.01989636063480904
2018-01-01,7,0.021553889209867227
2018-01-01,6,0.028340154007503227
2018-01-01,4,0.027161607755747275
2018-01-01,3,0.01855403892637475
2018-01-01,2,0.02456815767484488
2018-01-01,1,0.01711571665023892
2018-01-01,5,0.020030322549424717
2018-02-01,5,0.020589351970733416
2018-02-01,1,0.010413483042050364
2018-02-01,2,0.008935568133359384
2018-02-01,3,0.016663193162604895
2018-02-01,4,0.012038412955243771
2018-02-01,6,0.008525821074961248
2018-02-01,7,0.0172369994618915
2018-02-01,8,0.022304829942042748
2018-02-01,9,0.02552301300092208
2018-02-01,10,0.03183940665966212
2018-03-01,8,0.012484711956831207
2018-03-01,7,0.020230912496959963
2018-03-01,10,0.016771450027721402
2018-03-01,9,0.011225376043966007
2018-03-01,6,0.012471835628519612
2018-03-01,1,0.009827933283884649
2018-03-01,4,0.008284218018541845
2018-03-01,3,0.012248511281946373
2018-03-01,2,-0.002569484485942408
2018-03-01,5,0.012928155115598194
2018-04-01,10,0.027889163376165538
2018-04-01,9,0.012656083564497989
2018-04-01,8,0.016149389004207704
2018-04-01,7,0.010584839702957094
2018-04-01,6,0.003935893277136948
2018-04-01,4,0.0032879797501592645
2018-04-01,3,0.006611982730523103
2018-04-01,2,0.016823812351857148
2018-04-01,1,0.0038035450573787877
2018-04-01,5,0.008797665015941591
2018-05-01,7,0.01530472157591567
2018-05-01,10,0.01957388893371137
2018-05-01,9,0.028423908523314445
2018-05-01,8,0.015529563433101412
2018-05-01,6,-8.0481564408319e-05
2018-05-01,1,0.004757794755213318
2018-05-01,4,0.0026741046902791776
2018-05-01,3,0.011062332580341172
2018-05-01,2,0.00852007503896779
2018-05-01,5,0.0021246275603354903
2018-06-01,7,0.012130455168825938
2018-06-01,10,0.017718915391966794
2018-06-01,9,0.012488522715724315
2018-06-01,8,0.007038779027232378
2018-06-01,6,0.004711059592413358
2018-06-01,1,0.002779221533590226
2018-06-01,4,0.010865407864175447
2018-06-01,2,0.013128322501283929
2018-06-01,5,0.0068953753960696584
2018-06-01,3,-0.004177305187500591
2018-07-01,10,0.011582932295114423
2018-07-01,1,-0.006741806415859086
2018-07-01,2,0.008939782823967457
2018-07-01,3,0.00849714705332949
2018-07-01,4,0.012480539889600628
2018-07-01,5,0.010066543230968783
2018-07-01,6,0.008655737527781149
2018-07-01,7,0.004902730433210323
2018-07-01,8,0.015067290832626146
2018-07-01,9,0.01969409822668977
2018-08-01,10,0.020265492409226926
2018-08-01,9,0.029026294464981506
2018-08-01,8,0.01503224224018651
2018-08-01,7,0.017481054664548523
2018-08-01,6,0.004367719077725374
2018-08-01,2,-0.0028332373560754354
2018-08-01,4,0.003218276320805069
2018-08-01,3,0.007015182710828016
2018-08-01,1,0.01424611354724692
2018-08-01,5,0.008689259562673524
2018-09-01,7,0.013247615135798307
2018-09-01,9,0.006644348506034126
2018-09-01,8,0.01602876700063538
2018-09-01,10,0.001700390388634121
2018-09-01,6,0.004429921795511715
2018-09-01,4,0.007705324785745038
2018-09-01,3,0.0015920535034446015
2018-09-01,2,-0.0017451329274031924
2018-09-01,1,0.007209658115497897
2018-09-01,5,0.001851257913189297
2018-10-01,9,-0.002553785558353172
2018-10-01,8,0.010589720998597896
2018-10-01,7,-0.0004858247027633711
2018-10-01,6,0.007846999522518328
2018-10-01,10,-0.006023741025055429
2018-10-01,4,-0.002482998996473862
2018-10-01,3,0.013058040536693127
2018-10-01,2,0.002736082308168575
2018-10-01,1,0.004082885052723251
2018-10-01,5,-0.0007550646189519172
2018-11-01,10,0.005000417737704987
2018-11-01,9,0.0060423312421820086
2018-11-01,8,0.007883130742115663
2018-11-01,7,0.009324615809801262
2018-11-01,6,0.002960426835198815
2018-11-01,5,0.005659793759840159
2018-11-01,3,0.01541180901254191
2018-11-01,2,0.014371113108908151
2018-11-01,1,0.016705393299759175
2018-11-01,4,0.009095413092558013
2018-12-01,7,-0.0038906240806673154
2018-12-01,10,0.00021617976224796998
2018-12-01,9,-0.004219551002084043
2018-12-01,8,-0.003946587615283437
2018-12-01,6,-0.006401706229446802
2018-12-01,2,0.006063519771840609
2018-12-01,4,0.002280317736289561
2018-12-01,1,-0.010605850344703738
2018-12-01,5,0.006875899472178926
2018-12-01,3,0.007016019942040819
2019-01-01,1,0.004718167384713645
2019-01-01,2,0.006297133446486081
2019-01-01,3,0.004742526388043844
2019-01-01,4,0.004558658327517007
2019-01-01,5,0.00902289180553284
2019-01-01,6,0.008989549454933687
2019-01-01,7,0.0036810721707067895
2019-01-01,8,0.001061645031031011
2019-01-01,9,0.001281908775264684
2019-01-01,10,0.005578091176722477
2019-02-01,10,0.013437469826807824
2019-02-01,9,0.010157306500359509
2019-02-01,8,0.009951119126551777
2019-02-01,6,0.008367967310758617
2019-02-01,7,0.004129167336462514
2019-02-01,4,0.006417133564672994
2019-02-01,3,0.010350303110526538
2019-02-01,2,-0.0021691449109283445
2019-02-01,1,0.009825040133123464
2019-02-01,5,0.008596959978197871
2019-03-01,10,0.012996940990279704
2019-03-01,9,0.015218520077407982
2019-03-01,8,0.011418407409470088
2019-03-01,7,0.012546055137860668
2019-03-01,6,0.0011372287567104067
2019-03-01,5,0.00822545669517094
2019-03-01,3,0.0016520431108244527
2019-03-01,2,-0.010807547162936082
2019-03-01,1,-0.0021438203432163627
2019-03-01,4,0.0014240758224173256
2019-04-01,7,0.008601931806536456
2019-04-01,10,0.00481404592352086
2019-04-01,9,0.00856743509321567
2019-04-01,8,0.0072817417576021
2019-04-01,6,0.017190438553906784
2019-04-01,2,0.013620394286476323
2019-04-01,4,0.0035668364121290708
2019-04-01,3,-0.002889571212393194
2019-04-01,5,0.0034198151962119283
2019-04-01,1,-0.0026903077272544262
2019-05-01,10,-0.005937013738921859
2019-05-01,9,-0.006927892283926762
2019-05-01,8,-0.0061039089453512885
2019-05-01,7,-0.0026354255992706577
2019-05-01,6,0.004622517932903802
2019-05-01,4,0.008071792309912729
2019-05-01,3,-0.0022866336264510956
2019-05-01,2,-0.016366152383645916
2019-05-01,1,-0.0035644691980043497
2019-05-01,5,0.0033573598494112122
2019-06-01,7,0.008617219623670236
2019-06-01,10,0.01864981659724152
2019-06-01,9,0.012120599696874068
2019-06-01,8,0.015956342239787258
2019-06-01,6,0.013841560696682409
2019-06-01,1,-0.0028643371349788005
2019-06-01,4,0.017306354558654702
2019-06-01,3,0.008726178942464635
2019-06-01,2,0.014726438405763487
2019-06-01,5,0.013683424791582022
2019-07-01,7,0.013541421767332862
2019-07-01,10,0.011643926523056791
2019-07-01,9,0.0009185161208897785
2019-07-01,8,0.01069076831449367
2019-07-01,6,0.019262201084149888
2019-07-01,2,0.004830745165576689
2019-07-01,4,0.006892373249703265
2019-07-01,5,0.016235628849809558
2019-07-01,1,0.015660705654367613
2019-07-01,3,0.009181048439272699
2019-08-01,1,0.021174431920712333
2019-08-01,2,0.01637539284695344
2019-08-01,3,0.010595017503375992
2019-08-01,4,0.015542390009916307
2019-08-01,5,0.023869956205402554
2019-08-01,6,0.02069456738004094
2019-08-01,7,0.021481239052075107
2019-08-01,8,0.02227878466786759
2019-08-01,9,0.022140945722667338
2019-08-01,10,0.01807028065261873
2019-09-01,10,0.010069101315956175
2019-09-01,9,0.014543781544152035
2019-09-01,8,0.01063998027347357
2019-09-01,7,0.017814248529439913
2019-09-01,6,0.02007724923595089
2019-09-01,2,0.005102896204468799
2019-09-01,4,0.011588649814727958
2019-09-01,3,0.012529065677693962
2019-09-01,1,0.008300812119071077
2019-09-01,5,0.013641162073154689
2019-10-01,8,0.005982687024065125
2019-10-01,10,0.011205937130020827
2019-10-01,9,0.013967028452626762
2019-10-01,7,0.005234499487916544
2019-10-01,6,0.009102313061855272
2019-10-01,4,0.007357110622290497
2019-10-01,5,0.012960437449205164
2019-10-01,3,0.016329216623779397
2019-10-01,2,0.011607573594600407
2019-10-01,1,0.018300907132418942
2019-11-01,9,0.010223646890548332
2019-11-01,8,0.01088228987176576
2019-11-01,7,0.008189040000435188
2019-11-01,6,0.00932644346328404
2019-11-01,10,0.009096094856263504
2019-11-01,4,0.013086983872160785
2019-11-01,3,0.01713756423770163
2019-11-01,2,0.011258296375542542
2019-11-01,1,0.028943038908821217
2019-11-01,5,0.017216951979152517
2019-12-01,10,0.014192455109854674
2019-12-01,9,0.008064882835621123
2019-12-01,8,0.013041905404568954
2019-12-01,7,0.0055851081029867355
2019-12-01,6,0.00998079442179689
2019-12-01,5,0.01548614558033301
2019-12-01,3,0.01685092991008541
2019-12-01,2,0.015758643523876126
2019-12-01,1,0.021766639935483667
2019-12-01,4,0.007164662962966251
2020-01-01,10,0.025544368586560617
2020-01-01,9,0.016415315217331194
2020-01-01,8,0.02070429814198782
2020-01-01,7,0.023156078419150683
2020-01-01,6,0.02821741934823918
2020-01-01,5,0.019780703775930775
2020-01-01,3,0.01461024057946747
2020-01-01,2,0.010193041503134825
2020-01-01,1,0.03645158252341263
2020-01-01,4,0.014406827543766987
2020-02-01,10,0.010375677840040343
2020-02-01,9,0.005960471798858613
2020-02-01,8,-0.0047332083603034425
2020-02-01,7,0.00533377976548155
2020-02-01,6,0.002324856181612489
2020-02-01,4,-0.006856945134446457
2020-02-01,3,0.008131848150386034
2020-02-01,2,-0.010308601014528795
2020-02-01,1,0.02508218078230362
2020-02-01,5,0.0036963178403421892
2020-03-01,7,-0.0027531928437973807
2020-03-01,10,-0.007505688617735262
2020-03-01,9,-0.009816161823707925
2020-03-01,8,-0.003248171883990736
2020-03-01,6,-0.025898386775049187
2020-03-01,1,-0.007045566840746087
2020-03-01,4,-0.018671801119490516
2020-03-01,3,-0.0130889466797256
2020-03-01,2,-0.01300200113652239
2020-03-01,5,-0.01743403422043821
2020-04-01,7,-0.003961840832172769
2020-04-01,10,0.006393895384404713
2020-04-01,9,-0.002568296909550516
2020-04-01,8,0.001912343325349397
2020-04-01,6,-0.008138113145398584
2020-04-01,5,0.010018092283061941
2020-04-01,4,-0.0012903768281764538
2020-04-01,3,-0.0003218364377559624
2020-04-01,2,-0.009973432921118075
2020-04-01,1,0.03002207674492574
2020-05-01,9,0.0061720776669735855
2020-05-01,8,-0.0016709040399888186
2020-05-01,7,0.003594204094747866
2020-05-01,6,0.008100242483600306
2020-05-01,10,0.0079442923378652
2020-05-01,4,0.011535485774155863
2020-05-01,3,0.0039865117578927745
2020-05-01,2,0.0011164315866347696
2020-05-01,1,0.020663048415861418
2020-05-01,5,-0.0008045298133273482
2020-06-01,10,-0.008142230677508078
2020-06-01,9,0.007986364248274924
2020-06-01,8,0.006744686252509791
2020-06-01,7,0.0008511977352523292
2020-06-01,6,-0.0016523217979318439
2020-06-01,5,0.016458825835989455
2020-06-01,3,0.01150920883820894
2020-06-01,2,0.0022682916529990216
2020-06-01,1,0.003383639621858059
2020-06-01,4,0.009287081201376113
2020-07-01,7,-0.004202962092984208
2020-07-01,9,0.023744457785445983
2020-07-01,8,-0.019083574118755386
2020-07-01,6,0.008831294853458571
2020-07-01,10,0.044297385468208716
2020-07-01,4,0.0012865990263863925
2020-07-01,3,0.003958485385000543
2020-07-01,2,0.00410946026375969
2020-07-01,1,0.0030109937617448512
2020-07-01,5,-0.004578883819841173
2020-08-01,9,-0.0003565691160494211
2020-08-01,8,0.004595661117112071
2020-08-01,7,0.004283344878101891
2020-08-01,6,-0.004979615837182871
2020-08-01,10,0.06725129248208295
2020-08-01,4,0.021879517029824713
2020-08-01,3,-0.00934670763521761
2020-08-01,2,-0.0020041148709656342
2020-08-01,1,0.017493088374078924
2020-08-01,5,0.021608729037149832
2020-09-01,10,0.05123540983747854
2020-09-01,9,0.008157659014854879
2020-09-01,8,-0.0033033901573976676
2020-09-01,7,-0.009390287893795368
2020-09-01,6,0.0053199011630540305
2020-09-01,5,-0.0024584661737039326
2020-09-01,3,0.012335006436154705
2020-09-01,2,0.011545406383750345
2020-09-01,1,-0.0014433506723969813
2020-09-01,4,0.0074790459713007795
2020-10-01,7,0.005596389302177096
2020-10-01,9,0.008107563850638266
2020-10-01,8,0.009430201134673188
2020-10-01,6,0.025499269169585892
2020-10-01,10,0.04180691097503075
2020-10-01,4,0.030186725534169456
2020-10-01,1,0.002306836983312799
2020-10-01,5,-0.0036880040281966897
2020-10-01,3,0.004251932974774553
2020-10-01,2,0.009942947180123118
2020-11-01,10,0.08121276000798416
2020-11-01,9,0.031685786739336086
2020-11-01,8,0.04573434588175451
2020-11-01,6,0.03848727692340792
2020-11-01,7,0.045852936499763075
2020-11-01,4,0.03852979352707675
2020-11-01,3,0.03047888916610253
2020-11-01,2,0.0356872392468206
2020-11-01,1,0.04050873540101918
2020-11-01,5,0.04895490406207603
2020-12-01,10,0.05864504000787729
2020-12-01,9,0.02910625146773027
2020-12-01,8,0.0245781989998628
2020-12-01,7,0.027745070771528768
2020-12-01,6,0.02903592278419853
2020-12-01,5,0.026130080386385313
2020-12-01,3,0.04607237131848674
2020-12-01,2,0.02950562473202889
2020-12-01,1,0.032956549184182116
2020-12-01,4,0.04486951355108526
2021-01-01,10,0.05722696794510007
2021-01-01,9,0.028074101506432747
2021-01-01,8,0.0156076497708042
2021-01-01,7,0.01334188308326456
2021-01-01,6,0.018023998004603303
2021-01-01,5,0.019205484412080587
2021-01-01,3,0.03452873294917569
2021-01-01,2,0.022876984537145928
2021-01-01,1,0.03939702525716671
2021-01-01,4,0.032872896721282796
2021-02-01,7,0.010666537319092617
2021-02-01,9,0.017903678355674524
2021-02-01,8,0.023784932406785142
2021-02-01,6,0.0181096068383646
2021-02-01,10,0.04073601616435951
2021-02-01,4,0.044249819147162306
2021-02-01,3,0.03516761382953182
2021-02-01,2,0.04566402612206133
2021-02-01,1,0.04463162698504264
2021-02-01,5,0.02017315371309003
2021-03-01,9,0.013161605790153352
2021-03-01,8,0.027185420089582246
2021-03-01,7,0.022558127827673635
2021-03-01,6,0.037790524711862616
2021-03-01,10,0.024229119565048585
2021-03-01,4,0.02331066594322384
2021-03-01,3,0.030910747053410903
2021-03-01,2,0.05147654598357021
2021-03-01,1,0.058608727953554096
2021-03-01,5,0.0207160330954288
2021-04-01,10,0.01623436714559512
2021-04-01,9,0.013441437054140692
2021-04-01,8,0.021375505079175072
2021-04-01,7,0.014524707972560558
2021-04-01,6,0.028758363873782722
2021-04-01,5,0.015338424766775605
2021-04-01,3,0.03130415173996437
2021-04-01,2,0.04525233019882968
2021-04-01,1,0.06028700286287858
2021-04-01,4,0.02514215356946181
2021-05-01,7,0.03851376599614187
2021-05-01,10,0.016758420867336365
2021-05-01,9,0.03097777696666948
2021-05-01,8,0.0326092871623036
2021-05-01,6,0.03252893027345216
2021-05-01,5,0.052270614469814625
2021-05-01,4,0.026154895995094574
2021-05-01,3,0.026895991085467363
2021-05-01,2,0.03301114040367059
2021-05-01,1,0.046543144629876076
2021-06-01,9,0.03133227670279903
2021-06-01,8,0.033581858491993355
2021-06-01,7,0.02296045863856455
2021-06-01,6,0.034514137919311016
2021-06-01,10,0.03634114716725367
2021-06-01,4,0.02829201868693154
2021-06-01,3,0.03051345957205842
2021-06-01,2,0.04653786544015204
2021-06-01,1,0.06169742927420652
2021-06-01,5,0.04956329195148901
