Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.014127690193168781,0.02270430130759491,103,0.47805701060437683,1.6560380625625484
2,0.009856954903877033,0.018802048593042936,103,0.3501328639323917,1.2128958194610056
3,0.010442992031145036,0.015696389886061077,103,0.4567452962743146,1.5822121185304254
4,0.009144247099511118,0.015389180361655088,103,0.3814697845727787,1.321450096864814
5,0.009665410235537976,0.015069980389633347,103,0.4241326324310214,1.4692385370369287
6,0.009200438427453581,0.013678182461481815,103,0.4332957731734047,1.5009805876823532
7,0.008684198472204724,0.014415539929968212,103,0.3753212655433115,1.3001510021641314
8,0.00920024626257965,0.014037535801333748,103,0.4221899458890527,1.4625088734491885
9,0.011132765598531585,0.014551012640875391,103,0.5401016417411256,1.870966969493986
10,0.016042263473004872,0.02140991180748715,103,0.5963837593362128,2.0659339439585005
