"Date","Time","Open","High","Low","Close","Volume"
01/02/2024,09:31,25.08,25.08,25.08,25.08,1203
01/02/2024,10:21,25.0551,25.0551,25.0551,25.0551,334
01/02/2024,11:19,25.02,25.02,25.02,25.02,154
01/02/2024,11:49,25.04,25.04,25,25.01,700
01/02/2024,12:19,25.0653,25.0653,25.0653,25.0653,107
01/02/2024,12:23,25.02,25.02,25.02,25.02,348
01/02/2024,13:54,25.04,25.04,25.04,25.04,107
01/02/2024,14:02,25.02,25.02,25.02,25.02,408
01/02/2024,14:48,25.02,25.02,25.02,25.02,1100
01/02/2024,14:50,25.06,25.06,25.06,25.06,200
01/02/2024,14:51,25.02,25.02,25.02,25.02,100
01/02/2024,14:55,25.02,25.02,25.02,25.02,1000
01/03/2024,09:31,25.02,25.02,25.02,25.02,425
01/03/2024,09:34,25.02,25.02,25.02,25.02,284
01/03/2024,10:55,25.03,25.03,25.03,25.03,1100
01/03/2024,10:56,25.08,25.08,25.08,25.08,100
01/03/2024,11:17,25.025,25.025,25.025,25.025,100
01/03/2024,11:18,25.03,25.03,25.03,25.03,1100
01/03/2024,11:31,25.025,25.025,25.025,25.025,100
01/03/2024,12:03,25.08,25.08,25.08,25.08,100
01/03/2024,12:13,24.9835,24.9835,24.9835,24.9835,100
01/03/2024,12:14,25.025,25.025,25.025,25.025,500
01/03/2024,12:20,25.08,25.08,25.08,25.08,100
01/03/2024,12:38,25.08,25.08,25.08,25.08,100
01/03/2024,12:57,25.08,25.08,25.08,25.08,100
01/03/2024,13:15,25.08,25.08,25.08,25.08,100
01/03/2024,13:34,25.08,25.08,25.08,25.08,100
01/03/2024,13:53,25.08,25.08,25.08,25.08,100
01/03/2024,14:11,25.08,25.08,25.08,25.08,100
01/03/2024,14:28,25.08,25.08,25.08,25.08,100
01/03/2024,14:45,25.08,25.08,25.08,25.08,100
01/03/2024,15:02,25.08,25.08,25.08,25.08,100
01/03/2024,15:08,25.025,25.025,25.025,25.025,100
01/03/2024,15:16,25.08,25.08,25.08,25.08,100
01/03/2024,15:30,25.08,25.08,25.08,25.08,100
01/03/2024,15:41,25.08,25.08,25.025,25.025,200
01/03/2024,15:49,25.08,25.08,25.08,25.08,100
01/03/2024,15:54,25.08,25.08,25.08,25.08,100
01/03/2024,15:55,25.03,25.03,25.03,25.03,1000
01/04/2024,09:33,25.035,25.0849,25.035,25.0849,995
01/04/2024,09:41,25.0169,25.0169,25.0169,25.0169,697
01/04/2024,14:29,24.9805,24.9805,24.9805,24.9805,1000
01/05/2024,09:31,25.04,25.04,25.04,25.04,412
01/05/2024,10:52,25.005,25.005,25.005,25.005,200
01/05/2024,11:34,25.0057,25.0057,25.0057,25.0057,1000
01/05/2024,14:04,25.0399,25.04,25.0399,25.04,716
01/05/2024,14:12,25.028,25.028,25.028,25.028,214
01/05/2024,14:41,25,25,25,25,500
01/05/2024,15:28,25.02,25.02,25.02,25.02,200
01/05/2024,15:29,25.0347,25.0347,25.0345,25.0345,550
01/05/2024,15:32,25.0393,25.0393,25.0073,25.0073,520
01/05/2024,15:33,25.02,25.02,25.02,25.02,300
01/05/2024,15:34,25.02,25.039,25.02,25.039,395
01/05/2024,15:35,25.0077,25.0077,25.0077,25.0077,225
01/05/2024,15:57,25.02,25.02,25.02,25.02,100
01/05/2024,15:58,25.02,25.02,25.02,25.02,100
01/05/2024,16:00,25.02,25.02,25.02,25.02,100
01/08/2024,09:30,25.11,25.11,25.02,25.02,1207
01/08/2024,09:38,25.0144,25.0144,25.0144,25.0144,132
01/08/2024,10:14,25.045,25.045,25.045,25.045,200
01/08/2024,10:16,25.045,25.045,25.045,25.045,200
01/08/2024,10:30,25.045,25.045,25.045,25.045,208
01/08/2024,10:31,25.1099,25.1099,25.1099,25.1099,208
01/08/2024,11:02,25.05,25.05,25.05,25.05,2980
01/08/2024,11:18,25.045,25.045,25.045,25.045,208
01/08/2024,12:39,24.9983,24.9983,24.9983,24.9983,1000
01/08/2024,12:40,24.9983,24.9983,24.9983,24.9983,1000
