Date,Decile,Return,Cumulative Return
2021-07-31,1,-0.047263838050211004,0.9527361619497889
2021-07-31,2,0.08838646781321235,1.0883864678132125
2021-07-31,3,0.3060421403935638,1.3060421403935638
2021-07-31,4,0.050968426017233004,1.050968426017233
2021-07-31,5,-0.05339822167413666,0.9466017783258633
2021-07-31,6,0.00031845464685603675,1.000318454646856
2021-07-31,7,0.1615643372196322,1.1615643372196323
2021-07-31,8,-0.17826261338338073,0.8217373866166193
2021-07-31,9,-0.2577994139773901,0.74220058602261
2021-07-31,10,0.10914506434749283,1.109145064347493
2021-08-31,10,-0.06761674145281676,1.0341482892978406
2021-08-31,9,-0.2539941899108681,0.5536859494244256
2021-08-31,8,-0.347428383532281,0.5362424946963662
2021-08-31,7,0.11215738262732403,1.2918423530354286
2021-08-31,6,0.19641070114383008,1.1967917036911575
2021-08-31,3,0.22434087581799506,1.5990407780246647
2021-08-31,4,0.05168742665110049,1.105290279449621
2021-08-31,2,-0.0585657506024172,1.0246442973802181
2021-08-31,1,-0.09360823726782938,0.863552209248352
2021-08-31,5,0.19360928263594165,1.1298726695694403
2021-09-30,7,-0.07979749945962317,1.1887565635671657
2021-09-30,10,-0.20787444408078826,0.8191752885629539
2021-09-30,9,-0.2213928822996877,0.43110382119251295
2021-09-30,8,-0.2519236990791449,0.4011503018290289
2021-09-30,6,0.10001172755169853,1.3164849094968507
2021-09-30,2,-0.12057703872664598,0.9010957222539666
2021-09-30,4,0.11602259623054005,1.2335289272597454
2021-09-30,3,0.1264041868570422,1.8011662273221247
2021-09-30,1,-0.13991401379915216,0.7427291535272897
2021-09-30,5,0.1614659574359545,1.3123086419421879
2021-10-31,10,-0.23684525929942857,0.6251575049315768
2021-10-31,9,-0.1452881738012166,0.3684695342927265
2021-10-31,8,-0.11641247936615062,0.354451400594632
2021-10-31,7,-0.11766954027748266,1.0488761252303773
2021-10-31,6,0.03892225456881776,1.3677254702802941
2021-10-31,5,0.15869675211724157,1.520567761193801
2021-10-31,3,0.11460002558001935,2.007579923047107
2021-10-31,2,-0.14577428729408964,0.7697391355586416
2021-10-31,1,-0.09719123521817474,0.670542389663423
2021-10-31,4,0.09190154360393096,1.346892139755017
2021-11-30,8,-0.04650574697601913,0.3379673734432824
2021-11-30,10,-0.3730741842127004,0.3919273787747816
2021-11-30,9,-0.0914436161259821,0.33477534764474304
2021-11-30,6,-0.05097396978071023,1.2980070734899187
2021-11-30,7,-0.14214519934403497,0.8997834193223063
2021-11-30,4,0.09371520434720608,1.4731164118658042
2021-11-30,5,0.015801500005058634,1.544595012679997
2021-11-30,3,0.07120228180001188,2.1505241944639533
2021-11-30,2,-0.20851440328465287,0.6092374390227869
2021-11-30,1,-0.11257889605925672,0.5950534676741789
2021-12-31,10,-0.40351640373718034,0.23377825236544203
2021-12-31,9,-0.21770337337598092,0.26189362513936576
2021-12-31,8,-0.1501317841414131,0.2872277286866552
2021-12-31,7,-0.265319750675543,0.6610531068457245
2021-12-31,6,-0.19259119543864558,1.0480223395186774
2021-12-31,5,-0.12698005900567536,1.3484622468300191
2021-12-31,4,-0.09047732331934642,1.3398327819823863
2021-12-31,3,-0.1229116021226798,1.8861998203188033
2021-12-31,2,-0.27402612172383584,0.44229046639841074
2021-12-31,1,-0.23489966104257207,0.4552756098153071
2022-01-31,9,-0.12509089352079156,0.22913311756328328
2022-01-31,8,-0.036228478353370494,0.2768219051354429
2022-01-31,7,-0.1305867917761979,0.5747283024290532
2022-01-31,6,-0.09953747500435292,0.9437048420948335
2022-01-31,10,-0.3540230863898768,0.15101535393219673
2022-01-31,4,-0.005951997600812807,1.3318581004785368
2022-01-31,3,-0.0062747412603193975,1.874364404481042
2022-01-31,2,-0.2237279010512038,0.3433377486961363
2022-01-31,1,-0.14868980696387846,0.3875807672765071
2022-01-31,5,-0.08312195329807769,1.2363754309247934
2022-02-28,9,-0.056378103860741456,0.216215026863365
2022-02-28,8,0.0007061225550183958,0.2770173753263822
2022-02-28,7,-0.07601518599841464,0.5310402236213556
2022-02-28,6,-0.007108322328486773,0.9369966838942697
2022-02-28,10,-0.25692243128269554,0.11221612203891997
2022-02-28,4,0.017401821491275796,1.3550348573947741
2022-02-28,3,0.07939987994363343,2.023188713167457
2022-02-28,2,-0.16714851298711653,0.2859493545492328
2022-02-28,1,-0.12706797958680316,0.33833166225197836
2022-02-28,5,0.018198701324987757,1.2588758581177468
2022-03-31,10,-0.4124174115253762,0.06593623945621287
2022-03-31,9,-0.1507804333449122,0.183614031417225
2022-03-31,8,-0.12451936078059572,0.24252334882562274
2022-03-31,7,-0.19699504624525357,0.42642793021097686
2022-03-31,6,-0.0743434240296338,0.8673371421091572
2022-03-31,5,-0.0385254064237279,1.2103771540467414
2022-03-31,3,0.0009810582610440667,2.025173579168161
2022-03-31,2,-0.29228153863232303,0.2023716372306634
2022-03-31,1,-0.22113235213051907,0.26351558597797003
2022-03-31,4,-0.05493773967855991,1.2805923051438455
2022-04-30,7,-0.09085776954276306,0.3876836396012705
2022-04-30,10,-0.07007364585413144,0.061315846763605
2022-04-30,9,0.04710901979515328,0.19226390845792696
2022-04-30,6,-0.019091008154696536,0.8507788016562802
2022-04-30,8,0.033063093001423266,0.2505419208628609
2022-04-30,4,-0.053817689508156095,1.21167378607908
2022-04-30,1,-0.11846849980786403,0.23229728983116973
2022-04-30,2,-0.18942218895641405,0.1640379587237378
2022-04-30,5,-0.038733471082178256,1.1634950455519426
2022-04-30,3,-0.06623305679738577,1.8910401424745513
2022-05-31,1,-0.09248429844801165,0.21081343794975957
2022-05-31,2,-0.22302558193103728,0.1274532975205967
2022-05-31,3,-0.09780769548615803,1.7060818640672997
2022-05-31,4,-0.025212506416222753,1.1811244529731924
2022-05-31,5,-0.04194142448257264,1.1146964059630784
2022-05-31,6,-0.036127966160907965,0.8200418938996242
2022-05-31,7,-0.07620652671006846,0.3581396159649397
2022-05-31,8,-0.02216169859142715,0.24498948632818102
2022-05-31,9,-0.026955953359577147,0.18708125150880509
2022-05-31,10,0.03831580108139641,0.06366521255133667
2022-06-30,9,0.12383520138830047,0.21024849596537323
2022-06-30,8,0.1537520425647032,0.28265712025801626
2022-06-30,7,0.08491047540989854,0.38854942101964124
2022-06-30,6,0.11065891618957824,0.9107868411086059
2022-06-30,10,0.33159213132241444,0.08477609607232893
2022-06-30,4,0.0632070590973825,1.2557798560736326
2022-06-30,3,-0.008768655712794497,1.6911218195834508
2022-06-30,2,-0.03236633451948857,0.12332810145743316
2022-06-30,1,0.11299074687777387,0.23463340575557412
2022-06-30,5,0.07689830292206917,1.200414667854969
2022-07-31,9,-0.02474493296085488,0.2050459110275895
2022-07-31,8,0.021544930745187374,0.2887469483386093
2022-07-31,7,0.017349974560923673,0.3952907435899936
2022-07-31,6,0.07056822506736402,0.9750594519003515
2022-07-31,10,0.163647599337093,0.09864950067573632
2022-07-31,4,0.03369337976060026,1.2980913236600335
2022-07-31,5,0.11226558141537339,1.3351799184812494
2022-07-31,1,0.11316471102200157,0.2611856273140117
2022-07-31,2,-0.1006245146697246,0.1109182711031404
2022-07-31,3,0.035501399670980475,1.7511590111927986
2022-08-31,1,0.07627226024283543,0.2811068454521942
2022-08-31,2,0.014984298926752015,0.11258030363378836
2022-08-31,3,0.15172962879528734,2.0168617179226045
2022-08-31,4,0.2149073624068586,1.577060706191039
2022-08-31,6,0.11261796302650012,1.0848686612031047
2022-08-31,7,0.09195908257515924,0.43164131772098197
2022-08-31,8,0.11558636582789232,0.32212215874096334
2022-08-31,9,0.04831605224353638,0.21495291997712204
2022-08-31,10,0.4093487384293708,0.13903154932403633
2022-08-31,5,0.09210341355627014,1.458154546685155
2022-09-30,6,0.2414167824948115,1.346774162820212
2022-09-30,9,0.16214012207582795,0.24980541266276832
2022-09-30,8,0.31719749039568657,0.42429849909443784
2022-09-30,7,0.289005953237222,0.5563882282055049
2022-09-30,10,0.681054738204042,0.23371964475102025
2022-09-30,5,0.2537273916555392,1.8281282964462446
2022-09-30,3,0.3601430549968628,2.743220458521472
2022-09-30,2,0.3747617111257886,0.15477109086264773
2022-09-30,1,0.4092906487081454,0.39616124858362317
2022-09-30,4,0.5493913395883214,2.4434842001774384
2022-10-31,10,0.3740163375515396,0.3211346102946438
2022-10-31,9,0.11576123603166562,0.27872319600001066
2022-10-31,8,0.23450897574685722,0.5238003055280033
