Date,Decile,Return
2020-09-30,1,0.19750643266336543
2020-09-30,2,0.11747315486329402
2020-09-30,3,0.0429231807842807
2020-09-30,4,0.06298598640560482
2020-09-30,5,0.05625241815062987
2020-09-30,6,0.06227630381560989
2020-09-30,7,0.1752638002021647
2020-09-30,8,-0.013575892503139397
2020-09-30,9,0.11897545251189734
2020-09-30,10,0.250214405327804
2020-10-30,1,0.32965806386160246
2020-10-30,2,0.42658492486134164
2020-10-30,3,0.12324884221286747
2020-10-30,4,0.13082830245810062
2020-10-30,5,0.1640950594241246
2020-10-30,6,0.057685452142324734
2020-10-30,7,0.15527188725092705
2020-10-30,8,0.008195442233510764
2020-10-30,9,0.10127726313788521
2020-10-30,10,0.3165307949848973
2020-11-30,1,0.27554913656750357
2020-11-30,2,0.05830773319047372
2020-11-30,3,0.014709858971602097
2020-11-30,4,0.04140239127312693
2020-11-30,5,0.05429939993451294
2020-11-30,6,-0.05484868702067741
2020-11-30,7,0.03937048787823477
2020-11-30,8,0.05187194645148415
2020-11-30,9,0.077562745967033
2020-11-30,10,0.06405225591537511
2020-12-31,1,0.18384045746654024
2020-12-31,2,-0.02321038225388078
2020-12-31,3,0.018953634247319846
2020-12-31,4,0.0204289881071081
2020-12-31,5,0.019717583702290913
2020-12-31,6,0.03580742648074873
2020-12-31,7,-0.010911877197905448
2020-12-31,8,0.08959040135351909
2020-12-31,9,0.17580493940214822
2020-12-31,10,-0.001844371716698286
2021-01-29,1,0.12002955273274636
2021-01-29,2,0.08039846341061535
2021-01-29,3,0.07287463862763842
2021-01-29,4,0.13254624269319326
2021-01-29,5,0.13006721535006158
2021-01-29,6,0.11293481818613531
2021-01-29,7,0.1016341382925023
2021-01-29,8,0.17058693399565925
2021-01-29,9,0.15664198288623934
2021-01-29,10,0.008362749569515493
2021-02-26,1,0.15107499285641468
2021-02-26,2,0.12823853919250142
2021-02-26,3,0.10408718300711058
2021-02-26,4,0.1757599250455962
2021-02-26,5,0.13873514883738655
2021-02-26,6,0.07590183853466133
2021-02-26,7,0.09552198654233106
2021-02-26,8,0.10711041441798624
2021-02-26,9,0.06027710622948148
2021-02-26,10,-0.04605904438458447
2021-03-31,1,0.03363741285006553
2021-03-31,2,0.0790116926287802
2021-03-31,3,0.03646991987168169
2021-03-31,4,0.0997189300227443
2021-03-31,5,0.20290166072844662
2021-03-31,6,0.12125112408424366
2021-03-31,7,0.08598235733922954
2021-03-31,8,0.17182402719556408
2021-03-31,9,0.02044576764411162
2021-03-31,10,-0.002881598917610436
2021-04-30,1,-0.024980342715724635
2021-04-30,2,0.0255200891468986
2021-04-30,3,0.02783568418940391
2021-04-30,4,0.06897562024628978
2021-04-30,5,0.14430724153667807
2021-04-30,6,0.13073066549704632
2021-04-30,7,0.04571634876560807
2021-04-30,8,0.10758995663744292
2021-04-30,9,0.05662166333411897
2021-04-30,10,0.021773131076934377
2021-05-31,1,0.02463824542661645
2021-05-31,2,0.0025836376118092788
2021-05-31,3,0.06456218341411864
2021-05-31,4,0.11010907888933737
2021-05-31,5,0.13827324422765663
2021-05-31,6,0.07402599880092904
2021-05-31,7,0.05016262459306211
2021-05-31,8,0.1173209799642536
2021-05-31,9,0.07257233185425375
2021-05-31,10,0.07608089865352324
2021-06-30,1,-0.006098212396981717
2021-06-30,2,0.04082395645067033
2021-06-30,3,0.016440901100155225
2021-06-30,4,0.06460959140654655
2021-06-30,5,0.03522849399285869
2021-06-30,6,0.004841428841756386
2021-06-30,7,0.057133900976521636
2021-06-30,8,0.06295205413063405
2021-06-30,9,0.08519459657140999
2021-06-30,10,0.045644645879439984
2021-07-30,1,-0.08518489408296537
2021-07-30,2,0.11205644139252753
2021-07-30,3,0.040558915247082473
2021-07-30,4,0.07207115267323756
2021-07-30,5,-0.0035004526811938295
2021-07-30,6,0.012978614849086745
2021-07-30,7,0.08483438994105687
2021-07-30,8,0.03903704137473024
2021-07-30,9,0.07395058134906246
2021-07-30,10,0.1235906341456816
2021-08-31,1,-0.03651190746993079
2021-08-31,2,0.04642788848467031
2021-08-31,3,0.05957751443460294
2021-08-31,4,-0.03814175417168405
2021-08-31,5,-0.014044963438741731
2021-08-31,6,-0.023357020266132122
2021-08-31,7,0.14485911798200807
2021-08-31,8,0.05750585303604063
2021-08-31,9,0.12209832794514225
2021-08-31,10,0.1465645042138385
2021-09-30,1,0.056068397081268574
2021-09-30,2,0.019796090860897324
2021-09-30,3,0.04776470321487225
2021-09-30,4,0.09708923571372556
2021-09-30,5,0.06339220722973904
2021-09-30,6,0.13304633896385307
2021-09-30,7,0.16530993799176472
2021-09-30,8,0.15165938921108857
2021-09-30,9,0.21734609516340472
2021-09-30,10,0.34095826130971146
2021-10-29,1,0.034944172628251814
2021-10-29,2,-0.007810884718425411
2021-10-29,3,-0.012322439425690501
2021-10-29,4,-0.047537767327406444
2021-10-29,5,0.046738045687218364
2021-10-29,6,-0.05799414279508275
2021-10-29,7,0.005073471908629908
2021-10-29,8,-0.05581687860363057
2021-10-29,9,0.013225484094619802
2021-10-29,10,-0.030634671436916967
2021-11-30,1,-0.020518681360232716
2021-11-30,2,-0.11110308785266965
2021-11-30,3,0.050227684291690146
2021-11-30,4,0.03061216128487393
2021-11-30,5,0.01450739785120908
2021-11-30,6,-0.021325388550139695
2021-11-30,7,0.03632388825113345
2021-11-30,8,0.020662184150510354
2021-11-30,9,-0.03163469533952671
2021-11-30,10,-0.19255264694331595
2021-12-31,1,-0.05886571333079629
2021-12-31,2,0.020112185415648964
2021-12-31,3,0.03055177167246853
