Date,Decile,Return,Cumulative Return
2015-11-30,1,0.04923191929154127,1.0492319192915414
2015-11-30,2,0.02083394455776777,1.0208339445577677
2015-11-30,3,0.11421679138116007,1.11421679138116
2015-11-30,4,0.0021434041769327282,1.0021434041769328
2015-11-30,5,0.13445875862765388,1.134458758627654
2015-11-30,6,0.05734970973642439,1.0573497097364244
2015-11-30,7,0.18172318095740167,1.1817231809574016
2015-11-30,8,0.04443216345173708,1.044432163451737
2015-11-30,9,0.27627123888425026,1.2762712388842503
2015-11-30,10,0.17247966387375355,1.1724796638737536
2015-12-31,10,0.25259116276811133,1.468637665493589
2015-12-31,9,0.12750384017709782,1.4390007229495745
2015-12-31,7,0.18119475107570154,1.3958452185713641
2015-12-31,6,0.09349465065888465,1.1562062514725047
2015-12-31,8,0.008701772383689913,1.053520574408299
2015-12-31,4,0.04787471979842351,1.0501207388497418
2015-12-31,3,0.09538504000528311,1.2204964046016102
2015-12-31,2,0.107087623393488,1.1301526255598588
2015-12-31,1,0.0755851151807164,1.1285382347624766
2015-12-31,5,0.12339694424222925,1.2744475028111393
2016-01-31,10,0.42670596775331865,2.095314121827006
2016-01-31,9,0.16244494378159588,1.6727591144907938
2016-01-31,8,0.09280148231033714,1.151288845357827
2016-01-31,7,0.19399189707357367,1.6666278805431
2016-01-31,6,0.173654699622371,1.35698690077347
2016-01-31,5,0.12062483756744578,1.4281775258259697
2016-01-31,3,0.14207211931828825,1.3938949154237121
2016-01-31,2,0.15172478563151123,1.3016247904038178
2016-01-31,1,0.1595859725342073,1.308637106499084
2016-01-31,4,0.14911676508523822,1.2067113463759356
2016-02-29,7,0.16732361608864316,1.9454940841897226
2016-02-29,10,0.44973826793260974,3.037657065752221
2016-02-29,9,0.3136841936285424,2.1974772084546332
2016-02-29,8,0.1390274070629376,1.311349548308409
2016-02-29,6,0.20016722740350834,1.6286112063241753
2016-02-29,2,0.24285796526516998,1.6177347385399923
2016-02-29,4,0.2064775904946093,1.4558701975981445
2016-02-29,3,0.266643715113125,1.7655682341495857
2016-02-29,5,0.146403481317872,1.6372676875468368
2016-02-29,1,0.23651758701045994,1.6181527972005976
2016-03-31,9,0.22537509537935724,2.6927338439040596
2016-03-31,8,0.10814085160034996,1.4531600052082145
2016-03-31,7,0.11413512127472958,2.167543287427985
2016-03-31,6,0.142320275484572,1.8603956018654932
2016-03-31,10,0.3126089385162941,3.987255816653543
2016-03-31,4,0.2191086779697759,1.7748639918894704
2016-03-31,3,0.19289144697793856,2.1061312455729833
2016-03-31,2,0.17766079940070492,1.9051427854072975
2016-03-31,1,0.21514084575478573,1.9662835585508063
2016-03-31,5,0.07721127792920435,1.7636832180145212
2016-04-30,10,0.2716755033974869,5.070495547817452
2016-04-30,9,0.2078782718689581,3.252494701977892
2016-04-30,8,0.14502248400916842,1.6639008788262861
2016-04-30,7,0.11820366762508237,2.4237548537381013
2016-04-30,6,0.15647004882152524,2.1514917925167376
2016-04-30,5,0.12663708087261,1.9870309123278913
2016-04-30,3,0.1689139227915968,2.4618861361766675
2016-04-30,2,0.17950231780174594,2.2471203311311814
2016-04-30,1,0.2119484949089215,2.3830343993498078
2016-04-30,4,0.17702302414586776,2.0890557831813514
2016-05-31,7,0.15532317280005928,2.8002201477102466
2016-05-31,10,0.29305580097562023,6.556433681926412
2016-05-31,9,0.2123666680669514,3.9432161647423487
2016-05-31,6,0.1886926626745503,2.557462507569162
2016-05-31,8,0.1526145187042216,1.9178363106198912
2016-05-31,4,0.20354396482356213,2.5142704800276756
2016-05-31,3,0.19320858568110286,2.9375436746552763
2016-05-31,5,0.157388198855235,2.2997661286888524
2016-05-31,2,0.20757297581591616,2.7135617852805276
2016-05-31,1,0.2353519984620314,2.9438863076405517
2016-06-30,9,0.20914376289150693,4.7679152313311794
2016-06-30,8,0.17402685831137155,2.251591338512543
2016-06-30,7,0.15126855338598116,3.2238053986166544
2016-06-30,6,0.19561910057866655,3.0577510230635023
2016-06-30,10,0.3112604382849311,8.597192103348911
2016-06-30,4,0.1914211741909691,2.9955550875482646
2016-06-30,3,0.20316911227438808,3.534361815302233
2016-06-30,2,0.2251514031303333,3.3245240287172906
2016-06-30,1,0.25440107883416674,3.69281416026944
2016-06-30,5,0.15596321867739865,2.6584450563244264
2016-07-31,10,0.22460552102697864,10.52816891509062
2016-07-31,9,0.14948969574986756,5.4806694286240365
2016-07-31,8,0.13928907151515502,2.56521340548552
2016-07-31,7,0.1261781881581383,3.630579322788529
2016-07-31,6,0.13431894797668298,3.468464923656018
2016-07-31,5,0.12693673083315313,2.9958993808738064
2016-07-31,3,0.16768306165117522,4.127014425475117
2016-07-31,2,0.18620021772272433,3.9435511266888783
2016-07-31,1,0.19708658684925348,4.420618298985536
2016-07-31,4,0.14127234580641,3.418744181758534
2016-08-31,7,0.13642086779919987,4.125866104617171
2016-08-31,9,0.17094894472675637,6.4175840838435105
2016-08-31,8,0.19643451911960355,3.0691098672312283
2016-08-31,6,0.15690795460175846,4.0126946604348275
2016-08-31,10,0.27316841453875473,13.404132125622125
2016-08-31,4,0.14655665225903103,3.919783883967105
2016-08-31,1,0.18495171637881067,5.238219240838489
2016-08-31,5,0.13928830056492625,3.4131931142992338
2016-08-31,3,0.16280669168345488,4.798919990616616
2016-08-31,2,0.18541744659278117,4.674754307107615
2016-09-30,10,0.24707467787249454,16.71595375272057
2016-09-30,9,0.17420963862588484,7.535589087941119
2016-09-30,8,0.1891918547654383,3.6497604554916125
2016-09-30,6,0.14873842703994403,4.6095365524194865
